acq_id,registration_datetime,acquisition_datetime,data_ecosystem,instrument,instrument_model,modalities_in_study,operator,data_source,sample_id,sample_type,session_id,primary_kind,primary_file_name,original_name,file_format,file_size_mb,file_count,canonical_path,checksum_present,extended_metadata_present,project_hint,ingest_config,notes
ACQ-20211022-XMRI-001,2026-03-10T09:36:32Z,2021-10-22T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.01,cardiac MRI study,,,ACQ-20211022-XMRI-001.zip,LEONE_1.01.zip,.zip,1030.8,4,/raw/DICOM/2021/2021-10/ACQ-20211022-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20211022-XMRI-002,2026-03-10T09:39:53Z,2021-10-22T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.02,cardiac MRI study,,,ACQ-20211022-XMRI-002.zip,LEONE_1.02.zip,.zip,1267.5,4,/raw/DICOM/2021/2021-10/ACQ-20211022-XMRI-002/,Y,Y,PROJ-0001,,
ACQ-20211116-XMRI-001,2026-03-10T09:42:24Z,2021-11-16T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.03,cardiac MRI study,,,ACQ-20211116-XMRI-001.zip,LEONE_1.03.zip,.zip,892.2,4,/raw/DICOM/2021/2021-11/ACQ-20211116-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20211102-XMRI-001,2026-03-10T09:45:16Z,2021-11-02T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.04,cardiac MRI study,,,ACQ-20211102-XMRI-001.zip,LEONE_1.04.zip,.zip,1036.0,4,/raw/DICOM/2021/2021-11/ACQ-20211102-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20220228-XMRI-001,2026-03-10T09:45:58Z,2022-02-28T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.05,cardiac MRI study,,,ACQ-20220228-XMRI-001.zip,LEONE_1.05.zip,.zip,265.6,4,/raw/DICOM/2022/2022-02/ACQ-20220228-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20220228-XMRI-002,2026-03-10T09:48:03Z,2022-02-28T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.06,cardiac MRI study,,,ACQ-20220228-XMRI-002.zip,LEONE_1.06.zip,.zip,832.2,4,/raw/DICOM/2022/2022-02/ACQ-20220228-XMRI-002/,Y,Y,PROJ-0001,,
ACQ-20220131-XMRI-001,2026-03-10T09:50:02Z,2022-01-31T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.07,cardiac MRI study,,,ACQ-20220131-XMRI-001.zip,LEONE_1.07.zip,.zip,833.1,4,/raw/DICOM/2022/2022-01/ACQ-20220131-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20220124-XMRI-001,2026-03-10T09:52:13Z,2022-01-24T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.08,cardiac MRI study,,,ACQ-20220124-XMRI-001.zip,LEONE_1.08.zip,.zip,830.7,4,/raw/DICOM/2022/2022-01/ACQ-20220124-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20220526-XMRI-001,2026-03-10T09:54:43Z,2022-05-26T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.09,cardiac MRI study,,,ACQ-20220526-XMRI-001.zip,LEONE_1.09.zip,.zip,1036.1,4,/raw/DICOM/2022/2022-05/ACQ-20220526-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20220609-XMRI-001,2026-03-10T09:57:20Z,2022-06-09T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.10,cardiac MRI study,,,ACQ-20220609-XMRI-001.zip,LEONE_1.10.zip,.zip,1110.0,4,/raw/DICOM/2022/2022-06/ACQ-20220609-XMRI-001/,Y,Y,PROJ-0001,,
